City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,vila velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
350,charters towers,AU,79.54,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
355,fare,PF,81.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
359,massaguet,TD,85.3,clear sky,12.4755,15.4365,Alwatane
360,iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
363,sinnamary,GF,77.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
364,marsh harbour,BS,77.65,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
365,pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
370,dingle,PH,78.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
371,arlit,NE,84.78,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
373,posse,BR,77.27,scattered clouds,-14.0931,-46.3694,Pousada das Palmeiras
380,muisne,EC,78.75,broken clouds,0.6,-80.0333,Quinta Samay
381,catia la mar,VE,84.4,few clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
391,lazaro cardenas,MX,79.07,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
392,bodden town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
399,bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
402,olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
403,bonthe,SL,79.0,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
406,luwuk,ID,79.92,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
411,iberia,US,75.2,clear sky,29.9502,-91.7507,back to back rv park
415,bac lieu,VN,80.94,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
425,mogadishu,SO,81.23,few clouds,2.0371,45.3438,Hotel Juba
428,gewane,ET,80.08,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
433,acapulco,MX,81.52,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
435,luganville,VU,80.44,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
440,sinnar,SD,87.73,few clouds,13.5691,33.5672,هجو الطاهر
444,sulangan,PH,82.62,overcast clouds,11.1373,123.7228,Maia's Beach Resort
445,kavieng,PG,78.58,moderate rain,-2.5744,150.7967,Nusa Island Retreat
447,kiunga,PG,75.38,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
451,kampong cham,KH,75.11,overcast clouds,11.9934,105.4635,7 Makara Hotel
454,pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
457,takoradi,GH,78.69,moderate rain,4.8845,-1.7554,Raybow International Hotel
461,am timan,TD,87.03,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
462,makakilo city,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
465,ternate,ID,81.36,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
473,ormara,PK,77.09,clear sky,25.2088,64.6357,Kenara Colony house for Rent
480,sola,VU,78.49,light rain,-13.8833,167.55,Leumerus Bungalows
482,weligama,LK,77.5,broken clouds,5.9667,80.4167,Weligama Bay Resort
488,manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
489,san andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
490,kismayo,SO,80.49,clear sky,-0.3582,42.5454,Agan-Hotel
492,vao,NC,79.56,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
495,morant bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
499,eagle pass,US,87.28,few clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
507,dagana,MR,76.64,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
509,key largo,US,86.0,scattered clouds,25.0865,-80.4473,Bayside Inn Key Largo
510,touros,BR,78.71,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
512,balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
518,harper,LR,80.56,overcast clouds,4.375,-7.7169,Screensaver
519,acajutla,SV,84.94,clear sky,13.5928,-89.8275,Laureles
523,nyaunglebin,MM,75.87,few clouds,17.95,96.7333,Thi ha
524,ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
526,caravelas,BR,77.7,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
530,salinopolis,BR,76.17,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
536,nagapattinam,IN,79.88,clear sky,10.7667,79.8333,Sathya Lodge
537,podor,MR,81.27,clear sky,16.6527,-14.9587,Auberge Du Tékrour
540,havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
547,pizarro,CO,79.36,light rain,4.9533,-77.366,Hotel Limonar
555,itarema,BR,76.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
559,saint george,US,77.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
564,male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
566,sechura,PE,77.67,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
567,san cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
574,aloleng,PH,80.04,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
576,tonj,SS,86.63,few clouds,7.2737,28.6822,Lakan Hotel
580,amalapuram,IN,76.37,clear sky,16.5833,82.0167,swayamprabha service apartments
581,la llave,MX,87.19,overcast clouds,20.4667,-99.9972,Hotel Victoria Inn
587,ondo,NG,77.95,overcast clouds,7.1,4.8333,Leisure Spring Hotel
588,media luna,CU,81.77,scattered clouds,20.1419,-77.435,Casa particular Pedro y Tamara
593,rincon,US,78.76,scattered clouds,32.296,-81.2354,Days Inn Rincon
595,purificacion,CO,81.34,scattered clouds,3.8587,-74.9313,Hotel Villa de las Palmas
596,guanica,PR,81.1,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
597,andros town,BS,78.76,few clouds,24.7,-77.7667,Hanks place
603,banjar,ID,78.19,overcast clouds,-8.19,114.9675,The Hamsa Resort
608,abonnema,NG,80.89,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
610,navolato,MX,84.63,scattered clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
619,sainte-marie,RE,75.33,moderate rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
625,lakeside,US,81.16,scattered clouds,30.13,-81.7682,Whitey's Fish Camp
627,san ramon,US,78.26,clear sky,37.7799,-121.978,San Ramon Marriott
631,aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
633,kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
636,gopalpur,IN,77.9,clear sky,19.2667,84.9167,Gopalpur Palm Resort
637,san antonio,US,86.05,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
638,corsicana,US,76.24,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
643,san luis de la paz,MX,84.61,scattered clouds,21.3,-100.5167,Hotel Real San Luis
648,biak,ID,78.21,broken clouds,-0.9131,122.8766,Penginapan Kim
652,mattru,SL,79.02,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
656,french harbor,HN,86.0,clear sky,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
665,mahibadhoo,MV,82.51,scattered clouds,3.7833,72.9667,Omadhoo Inn
672,nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
673,wukari,NG,82.53,overcast clouds,7.85,9.7833,Elimtop
674,doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
677,nuzvid,IN,76.19,clear sky,16.7833,80.85,HI-TECH LODGE
685,buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
688,martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
689,yorosso,ML,89.02,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
693,loandjili,CG,76.37,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
695,alice,US,84.09,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
