City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,nanortalik,GL,60.1432,-45.2371,35.33,88,99,2.24,overcast clouds
1,castro,BR,-24.7911,-50.0119,55.11,98,100,5.88,overcast clouds
2,narsaq,GL,60.9167,-46.05,50.22,69,93,6.22,overcast clouds
3,yellowknife,CA,62.456,-114.3525,0.41,57,20,8.05,few clouds
4,te anau,NZ,-45.4167,167.7167,61.03,60,26,0.36,scattered clouds
5,mahebourg,MU,-20.4081,57.7,76.24,94,75,18.41,broken clouds
6,namtsy,RU,62.7161,129.6658,18.21,95,100,8.68,light snow
7,mataura,NZ,-46.1927,168.8643,57.65,65,22,6.02,few clouds
8,natal,BR,-5.795,-35.2094,82.62,78,20,9.22,few clouds
9,kapaa,US,22.0752,-159.319,80.58,76,75,18.41,broken clouds
10,vaini,TO,-21.2,-175.2,82.56,83,75,5.75,broken clouds
11,wanning,CN,18.8003,110.3967,65.62,94,100,19.48,overcast clouds
12,arraial do cabo,BR,-22.9661,-42.0278,76.86,83,75,13.8,broken clouds
13,amethi,IN,26.15,81.8167,76.24,15,0,6.73,clear sky
14,vanimo,PG,-2.6741,141.3028,81.46,79,100,4.29,heavy intensity rain
15,rikitea,PF,-23.1203,-134.9692,75.09,61,27,10.65,scattered clouds
16,suntar,RU,62.1444,117.6319,19.0,95,100,11.79,snow
17,barrow,US,71.2906,-156.7887,-5.78,77,0,16.11,clear sky
18,qaanaaq,GL,77.484,-69.3632,13.06,96,100,3.22,overcast clouds
19,hambantota,LK,6.1241,81.1185,78.8,81,27,4.14,scattered clouds
20,nicoya,CR,10.1483,-85.452,85.69,61,100,6.85,overcast clouds
21,brae,GB,60.3964,-1.353,37.33,70,24,6.73,few clouds
22,pevek,RU,69.7008,170.3133,-7.82,92,100,3.56,overcast clouds
23,iqaluit,CA,63.7506,-68.5145,24.53,100,100,4.61,mist
24,boddam,GB,57.4667,-1.7833,37.44,97,100,0.6,light snow
25,saint-philippe,RE,-21.3585,55.7679,73.11,93,100,22.32,heavy intensity rain
26,aklavik,CA,68.2191,-135.0107,-7.6,59,0,5.75,clear sky
27,beloha,MG,-25.1667,45.05,71.51,75,0,6.51,clear sky
28,zhezkazgan,KZ,47.8043,67.7144,36.99,73,0,5.39,clear sky
29,ornskoldsvik,SE,63.2909,18.7153,25.75,80,100,4.61,overcast clouds
30,bluff,NZ,-46.6,168.3333,58.14,73,83,16.96,moderate rain
31,albany,US,42.6001,-73.9662,42.37,69,94,3.0,overcast clouds
32,sao jose da coroa grande,BR,-8.8978,-35.1478,78.96,77,92,7.47,overcast clouds
33,dori,BF,14.0354,-0.0345,88.23,8,100,4.12,overcast clouds
34,beatrice,US,40.2681,-96.747,64.38,31,100,12.66,overcast clouds
35,tuatapere,NZ,-46.1333,167.6833,57.16,64,26,2.89,scattered clouds
36,waipawa,NZ,-41.4122,175.5153,62.33,75,85,2.8,overcast clouds
37,vydrino,RU,51.485,104.8461,28.13,78,32,5.75,scattered clouds
38,tazovskiy,RU,67.4667,78.7,0.99,99,91,8.05,overcast clouds
39,isangel,VU,-19.55,169.2667,84.43,78,64,9.73,broken clouds
40,hamilton,US,39.1834,-84.5333,45.23,55,100,11.5,overcast clouds
41,kayan,MM,16.9056,96.5631,78.94,61,71,3.69,broken clouds
42,hilo,US,19.7297,-155.09,78.24,80,75,3.44,broken clouds
43,lagoa,PT,39.05,-27.9833,59.11,74,100,22.88,overcast clouds
44,minyar,RU,55.0709,57.5485,36.3,100,100,2.57,overcast clouds
45,lensk,RU,60.7253,114.9278,20.88,89,99,14.18,light snow
46,port alfred,ZA,-33.5906,26.891,62.19,97,99,8.12,overcast clouds
