City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Hasaki,JP,2022-03-31 18:02:59,35.7333,140.8333,43.2,93,100,30.2
151,Te Anau,NZ,2022-03-31 18:02:59,-45.4167,167.7167,47.19,88,100,4.79
152,San Cristobal,VE,2022-03-31 18:03:00,7.7669,-72.225,82.56,45,96,6.58
153,Half Moon Bay,US,2022-03-31 18:03:00,37.4636,-122.4286,62.91,75,0,12.66
154,Kharp,RU,2022-03-31 18:03:01,66.8014,65.8081,8.49,91,100,9.15
155,Semnan,IR,2022-03-31 18:03:01,35.5729,53.3971,62.53,37,81,5.44
156,Brae,GB,2022-03-31 18:03:02,60.3964,-1.353,39.33,64,91,17.31
157,Kahului,US,2022-03-31 18:03:03,20.8947,-156.47,76.84,85,8,10.0
158,Ghatsila,IN,2022-03-31 18:03:03,22.6,86.4833,81.32,70,5,3.38
159,Dikson,RU,2022-03-31 18:03:03,73.5069,80.5464,7.38,96,53,8.01
160,Karasjok,NO,2022-03-31 18:03:04,69.4719,25.5112,14.13,92,100,4.88
161,Tigil,RU,2022-03-31 18:03:04,57.8,158.6667,14.29,96,100,2.44
162,Fare,PF,2022-03-31 18:03:05,-16.7,-151.0167,81.9,66,12,13.2
163,Poso,ID,2022-03-31 18:03:05,-1.3959,120.7524,75.43,90,92,6.29
164,Tuatapere,NZ,2022-03-31 17:58:53,-46.1333,167.6833,47.57,87,100,3.74
165,Praya,CV,2022-03-31 18:03:06,14.9215,-23.5087,77.54,57,0,19.57
166,Nanortalik,GL,2022-03-31 18:03:06,60.1432,-45.2371,37.81,86,100,6.33
167,Kabanjahe,ID,2022-03-31 18:03:07,3.1001,98.4908,62.51,96,80,0.81
168,Superior,US,2022-03-31 18:03:07,46.7208,-92.1041,33.96,60,100,17.27
169,Cap Malheureux,MU,2022-03-31 18:01:12,-19.9842,57.6142,77.47,77,100,7.0
170,Ossora,RU,2022-03-31 18:03:08,59.2353,163.0719,3.31,86,89,6.46
171,Ahuimanu,US,2022-03-31 18:03:08,21.4447,-157.8378,76.78,80,53,5.01
172,Puerto Penasco,MX,2022-03-31 18:03:08,31.3167,-113.5333,68.92,63,0,7.0
173,Porto Velho,BR,2022-03-31 18:01:01,-8.7619,-63.9039,80.96,89,76,2.73
174,Smolyaninovo,RU,2022-03-31 18:03:09,43.2956,132.4675,31.46,47,44,7.63
175,Balingasay,PH,2022-03-31 18:03:09,16.3573,119.8564,82.76,73,19,6.87
176,Haines Junction,CA,2022-03-31 18:03:10,60.7522,-137.5108,25.21,87,75,2.46
177,Zhigansk,RU,2022-03-31 18:03:10,66.7697,123.3711,8.38,94,100,15.23
178,Buluang,PH,2022-03-31 18:03:11,13.3068,123.3425,75.42,94,11,3.11
179,Klyuchevsk,RU,2022-03-31 18:03:11,57.1216,60.9414,19.33,95,81,2.8
180,Skibbereen,IE,2022-03-31 18:03:12,51.55,-9.2667,47.1,57,25,16.84
181,Saint-Ambroise,CA,2022-03-31 18:03:12,48.5501,-71.3324,33.58,97,100,11.59
182,Leningradskiy,RU,2022-03-31 18:04:12,69.3833,178.4167,-6.23,93,97,1.1
183,Chuy,UY,2022-03-31 18:04:13,-33.6971,-53.4616,64.74,52,34,14.58
184,Bathsheba,BB,2022-03-31 18:04:13,13.2167,-59.5167,84.81,61,40,21.85
185,Mopti,ML,2022-03-31 18:04:14,14.6667,-4.0,101.07,5,57,5.1
186,Tura,IN,2022-03-31 18:04:14,25.5198,90.2201,70.32,87,57,4.52
187,Palu,ID,2022-03-31 18:04:15,-0.8917,119.8707,74.8,94,90,2.75
188,Saint-Joseph,RE,2022-03-31 18:04:16,-21.3667,55.6167,77.38,72,68,15.37
189,Faanui,PF,2022-03-31 18:04:16,-16.4833,-151.75,82.02,67,38,14.99
190,Hobart,AU,2022-03-31 18:00:09,-42.8794,147.3294,55.26,73,100,12.66
191,Muscat,OM,2022-03-31 18:02:24,23.6139,58.5922,81.3,45,0,3.36
192,Sisimiut,GL,2022-03-31 18:04:17,66.9395,-53.6735,22.33,88,49,5.41
193,Comodoro Rivadavia,AR,2022-03-31 18:04:17,-45.8667,-67.5,67.86,30,0,6.91
194,Ilheus,BR,2022-03-31 18:02:21,-14.7889,-39.0494,83.77,61,17,6.6
195,Santiago Del Estero,AR,2022-03-31 18:04:18,-27.7951,-64.2615,69.82,22,0,6.71
196,Tuni,IN,2022-03-31 18:04:18,17.35,82.55,79.95,89,11,6.2
197,Clyde River,CA,2022-03-31 18:04:19,70.4692,-68.5914,7.16,88,72,3.87
198,Nuevo Progreso,MX,2022-03-31 18:04:19,23.1667,-97.95,87.55,48,23,4.0
199,Sokoto,NG,2022-03-31 18:04:20,13.0609,5.239,90.82,6,38,6.8
200,Sur,OM,2022-03-31 18:04:20,22.5667,59.5289,81.0,42,0,4.59
201,Tandil,AR,2022-03-31 18:00:02,-37.3217,-59.1332,61.12,47,42,10.45
202,Ada,US,2022-03-31 18:04:21,43.4166,-116.1262,47.91,45,0,17.0
203,Ashcroft,CA,2022-03-31 18:04:21,50.7165,-121.2859,45.48,67,52,0.63
204,Jawhar,SO,2022-03-31 18:04:21,2.7809,45.5005,81.34,76,16,16.2
205,Ishigaki,JP,2022-03-31 18:04:22,24.3448,124.1572,69.39,86,57,33.29
206,Savannah Bight,HN,2022-03-31 18:04:22,16.45,-85.85,82.31,73,15,19.37
207,Balakhninskiy,RU,2022-03-31 18:04:23,58.0106,114.2769,12.07,98,97,2.37
208,Muros,ES,2022-03-31 18:04:23,42.7762,-9.0603,58.08,69,35,13.71
209,Sal Rei,CV,2022-03-31 18:04:24,16.1833,-22.9167,73.6,68,40,18.41
210,Chadan,RU,2022-03-31 18:04:24,51.2833,91.5833,15.4,87,74,2.64
211,Chunian,PK,2022-03-31 18:04:25,30.964,73.9803,75.04,12,0,8.66
212,Saint-Junien,FR,2022-03-31 18:04:25,45.8833,0.9,43.84,98,100,7.65
213,Do Gonbadan,IR,2022-03-31 18:04:26,30.3586,50.7981,72.88,19,0,3.71
214,Lianran,CN,2022-03-31 18:04:26,24.9227,102.485,49.95,85,98,6.51
215,Porto De Moz,BR,2022-03-31 18:04:26,-1.7483,-52.2383,74.93,90,100,0.65
216,Kasongo-Lunda,CD,2022-03-31 18:02:37,-6.4667,16.8167,72.73,97,85,1.99
217,Alto Araguaia,BR,2022-03-31 18:04:27,-17.3147,-53.2153,81.36,63,85,2.37
218,Leshukonskoye,RU,2022-03-31 18:04:28,64.8989,45.7622,17.17,97,97,1.86
219,Qianan,CN,2022-03-31 18:04:28,44.9932,124.0581,29.84,44,0,6.69
220,Baghdad,IQ,2022-03-31 18:04:28,33.3406,44.4009,73.31,23,0,5.75
221,Sabang,ID,2022-03-31 18:04:29,5.8933,95.3214,82.83,70,89,3.83
222,Erenhot,CN,2022-03-31 18:04:29,43.6475,111.9767,32.22,28,96,12.44
223,Mtwara,TZ,2022-03-31 18:04:30,-10.2667,40.1833,79.02,84,91,7.27
224,Murgab,TM,2022-03-31 18:04:30,37.4966,61.9714,66.63,20,2,7.07
225,Vila Do Maio,CV,2022-03-31 18:04:31,15.1333,-23.2167,77.79,77,12,17.34
226,Coromandel,BR,2022-03-31 18:04:31,-18.4733,-47.2003,75.61,68,49,5.17
227,Verkhoyansk,RU,2022-03-31 18:01:11,67.5447,133.385,-17.95,100,58,1.5
228,Puerto Baquerizo Moreno,EC,2022-03-31 18:04:32,-0.9,-89.6,79.79,89,75,3.44
229,Palmer,US,2022-03-31 18:04:32,42.1584,-72.3287,61.86,83,100,1.01
230,Lompoc,US,2022-03-31 18:05:33,34.6391,-120.4579,63.84,73,100,11.5
231,Pevek,RU,2022-03-31 18:05:33,69.7008,170.3133,-24.48,99,96,5.01
232,Bograd,RU,2022-03-31 18:05:34,54.2344,90.8328,34.12,80,100,6.04
233,Iqaluit,CA,2022-03-31 18:05:35,63.7506,-68.5145,27.7,92,98,5.99
234,Qesarya,IL,2022-03-31 18:05:35,32.5189,34.9046,64.33,63,100,10.47
235,Hualmay,PE,2022-03-31 18:05:36,-11.0964,-77.6139,74.88,72,43,10.27
236,Honiara,SB,2022-03-31 18:05:36,-9.4333,159.95,78.1,87,93,2.71
237,Touros,BR,2022-03-31 18:05:36,-5.1989,-35.4608,80.19,78,99,12.12
238,Ulladulla,AU,2022-03-31 18:05:37,-35.35,150.4667,58.77,83,95,22.97
239,Torbay,CA,2022-03-31 18:05:37,47.6666,-52.7314,41.29,75,52,13.0
240,Carnarvon,AU,2022-03-31 18:05:38,-24.8667,113.6333,71.67,100,40,12.66
241,Chapleau,CA,2022-03-31 18:05:38,47.8405,-83.4034,26.69,93,100,17.27
242,Poya,NC,2022-03-31 18:05:39,-21.35,165.15,76.68,90,5,2.3
243,Aviles,ES,2022-03-31 18:05:39,43.5547,-5.9248,54.79,78,75,6.91
244,Bagdarin,RU,2022-03-31 18:05:40,54.4333,113.6,11.91,88,72,4.34
245,Morros,BR,2022-03-31 18:05:40,-9.4467,-46.3003,84.76,54,100,1.07
246,Tiksi,RU,2022-03-31 18:05:41,71.6872,128.8694,0.57,99,100,5.64
247,Portland,US,2022-03-31 18:04:43,45.5234,-122.6762,52.45,69,75,6.91
248,Ochakiv,UA,2022-03-31 18:05:41,46.6128,31.5498,45.19,88,100,17.56
249,Sola,VU,2022-03-31 18:05:42,-13.8833,167.55,82.27,74,100,5.06
250,Mabaruma,GY,2022-03-31 18:05:42,8.2,-59.7833,80.35,82,99,5.95
251,Mount Isa,AU,2022-03-31 18:05:42,-20.7333,139.5,73.17,27,0,17.27
252,Tiznit,MA,2022-03-31 18:05:43,29.5833,-9.5,58.64,65,0,8.9
253,Ilulissat,GL,2022-03-31 18:05:43,69.2167,-51.1,19.42,86,100,3.44
254,Port Lincoln,AU,2022-03-31 18:05:44,-34.7333,135.8667,59.81,69,31,22.68
255,Wanning,CN,2022-03-31 18:05:44,18.8003,110.3967,74.66,95,100,6.67
256,Manoharpur,IN,2022-03-31 18:05:44,27.3,75.95,79.97,7,0,7.25
257,Kruisfontein,ZA,2022-03-31 18:05:45,-34.0033,24.7314,64.89,81,100,5.12
258,Gwadar,PK,2022-03-31 18:05:45,25.1216,62.3254,79.23,54,0,9.15
259,Pisco,PE,2022-03-31 18:05:46,-13.7,-76.2167,73.45,60,0,12.66
260,Aswan,EG,2022-03-31 18:05:46,24.0934,32.907,85.14,9,31,9.53
261,Yakeshi,CN,2022-03-31 18:05:46,49.2833,120.7333,-0.15,91,8,3.4
262,Karratha,AU,2022-03-31 18:05:47,-20.7377,116.8463,85.17,68,100,8.3
263,Moron,AR,2022-03-31 18:05:47,-34.6534,-58.6198,67.01,33,3,4.09
264,Fairbanks,US,2022-03-31 18:05:48,64.8378,-147.7164,15.98,43,40,6.91
265,Calama,CL,2022-03-31 18:05:48,-22.4667,-68.9333,73.42,15,0,15.73
266,Ambulu,ID,2022-03-31 18:05:48,-8.345,113.6058,75.6,92,49,3.13
267,Kanye,BW,2022-03-31 18:05:49,-24.9667,25.3327,68.31,36,26,6.44
268,Kodiak,US,2022-03-31 18:05:49,57.79,-152.4072,38.71,100,100,23.02
269,Baiyin,CN,2022-03-31 18:05:50,36.5583,104.2081,43.86,26,95,5.12
270,Drovyanaya,RU,2022-03-31 18:05:50,51.5833,113.0333,22.46,77,96,4.09
271,Kieta,PG,2022-03-31 18:05:50,-6.2167,155.6333,79.27,83,89,2.64
272,Freeport,US,2022-03-31 18:01:51,40.6576,-73.5832,66.18,79,100,29.93
273,Panguipulli,CL,2022-03-31 18:00:57,-39.6333,-72.3333,64.24,41,60,4.43
274,Qasigiannguit,GL,2022-03-31 18:05:51,68.8193,-51.1922,19.65,93,87,3.6
275,Kashan,IR,2022-03-31 18:05:51,33.9831,51.4364,65.21,43,59,7.34
276,Petukhovo,RU,2022-03-31 18:05:52,55.0692,67.9019,34.52,95,100,12.84
277,Henties Bay,NA,2022-03-31 18:05:52,-22.116,14.2845,63.73,81,0,10.65
278,Coquimbo,CL,2022-03-31 18:02:40,-29.9533,-71.3436,67.33,62,0,5.79
279,Port Macquarie,AU,2022-03-31 18:06:53,-31.4333,152.9167,61.9,82,80,18.99
280,Bolkhov,RU,2022-03-31 18:06:53,53.4433,36.0044,32.99,99,100,6.76
281,Sanghar,PK,2022-03-31 18:06:54,26.0466,68.9481,85.91,4,0,7.52
282,Djibo,BF,2022-03-31 18:06:54,14.1022,-1.6306,96.78,4,82,7.27
283,Canilla,GT,2022-03-31 18:06:55,15.1667,-90.85,88.75,28,39,6.02
284,Isangel,VU,2022-03-31 18:06:55,-19.55,169.2667,79.61,88,93,4.7
285,Grand-Santi,GF,2022-03-31 18:06:56,4.25,-54.3833,83.97,70,98,2.73
286,Cherskiy,RU,2022-03-31 18:06:56,68.75,161.3,-14.78,100,100,4.92
287,Khor,RU,2022-03-31 18:06:56,47.8861,134.9464,13.87,92,44,8.39
288,Naze,JP,2022-03-31 18:06:57,28.3667,129.4833,63.37,65,100,22.95
289,Buchanan,LR,2022-03-31 18:06:57,5.8808,-10.0467,83.28,75,60,8.84
290,San Jose De Ocoa,DO,2022-03-31 18:06:58,18.55,-70.5,84.9,45,21,9.46
291,Zaranj,AF,2022-03-31 18:06:58,30.9667,61.8833,70.16,10,1,0.4
292,Sorland,NO,2022-03-31 18:06:58,67.667,12.6934,31.86,57,100,13.44
293,Bara,NG,2022-03-31 18:06:59,10.3744,10.7288,89.37,7,58,7.61
